chunk_id,doc_id,file_name,folder,act_name,regime_type,act_subtype,jurisdiction,year,section_or_clause,page_number,page_numbers,chunk_text,token_count
DOC005_chunk_167,DOC005,patents act 1970.pdf,02_national_statutes,patents act 1970,ip_statute,patent,national,1970,"25. Omit sections 78B, 78C, 78D and 78E.",71,71,"25. Omit sections 78B, 78C, 78D and 78E.",8
DOC005_chunk_168,DOC005,patents act 1970.pdf,02_national_statutes,patents act 1970,ip_statute,patent,national,1970,26. Omit the Schedule.,71,"71, 72","26. Omit the Schedule.

                                                   e
                                                 d
                                                o
                                              C
                                            a
                                           i
                                         d
                                        n
                                       I

                                           71

STATEMENT  OF OBJECTS AND REASONS
            The law relating to patents now on the statute book was enacted in 1911 and since then there have
          been substantial changes in the political and economic conditions of the country. Although the Act has
          been in force for a very long period, it has not achieved its main purpose of stimulating inventions among
          Indians and encouraging the development and exploitation of new inventions for industrial progress in
          this country. The need for a more comprehensive law so as to ensure that patent rights are not worked to
          the detriment of the consumer or to the prejudice of the trade or the Industrial development of the country
          was felt as early 1948 and in that year the Government appointed a Committee known as the patents.
          Enquiry Committee to review the working of the patents law in India with a view to ensure that the patent
          system became more conducive to national interests. An interim report of that Committee made in 1949
          suggested the immediate amendment of the Indian patents and Designs Act, 1911, so as to counteract the
          misuse or abuse of patent monopoly in India by the enactment of provisions for compulsory licensing.
          The recommendations contained in that interim report were given effect to by the Indian patents and
          Designs (Amendment) Act, 1950. The final report of the Committee was presented to Government in
          1950, and based on the final report a Bill further to amend the Indian Patents and Design Act, 1911, was
          introduced in the Lok Sabha on the 7th December, 1953. While the Bill was pending, a further
          examination of the law revealed that the Bill would need extensive amendments and consequently it was
          not proceeded with and was allowed to lapse on the dissolution of the First Lok Sabha.
                                                   e",314
DOC005_chunk_169,DOC005,patents act 1970.pdf,02_national_statutes,patents act 1970,ip_statute,patent,national,1970,"2. In 1957, the Government of India requested Shri N. Rajagdopala Ayyangar, now a retired Judge of; 3. The Notes on Clauses explain in detail the vnarious provisions contained in the Bill.",72,72,"2. In 1957, the Government of India requested Shri N. Rajagdopala Ayyangar, now a retired Judge of
          the Supreme Court, to examine afresh the law of patents ino India and advise the Government on the
          changes necessary. The present Bill which is based maiCnly on the recommendations contained in his
          comprehensive report, incorporates a few further changaes in the light of further examination particularly
          with reference to patents for food, medicines and drug.i
                                         d

3. The Notes on Clauses explain in detail the vnarious provisions contained in the Bill.
                                       I
           NEW DELHI;                                            T.N. SINGH.
          The 1st September, 1965

                                           72",99
DOC006_chunk_001,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"1.  (1) These rules may be called the Patents (Amendment) Rules, 2024.",1,1,"22               THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(i)]

                           MINISTRY OF COMMERCE AND INDUSTRY
                       (Department For Promotion of Industry and Internal Trade)

                                    NOTIFICATION
                                New Delhi, the 15th March, 2024

             G.S.R. 211(E).—WHEREAS the draft of certain rules, further to amend the Patents Rules, 2003 were
        published, as required under sub-section (3) of section 159 of the Patents Act, 1970 (39 of 1970), vide notification of
        the Government of India in the Ministry of Commerce and Industry (Department for Promotion of Industry and
        Internal Trade) number G.S.R. 619 (E), dated the 23st August, 2023 in the Gazette of India, Extraordinary, Part II,
        Section 3, Sub-section (i) inviting objections and suggestions from all persons likely to be affected.
           AND, WHEREAS, copies of the said notification were made available to the public on the 23st August, 2023;
           AND, WHEREAS, the objections and suggestions received from the public in respect of the said draft rules have
           been duly considered by the Central Government;

        NOW, THEREFORE, in exercise of the powers conferred by section 159 of the Patents Act, 1970 (39 of 1970), the
        Central Government hereby makes the following rules further to amend the Patents Rules, 2003, namely: -

1.  (1) These rules may be called the Patents (Amendment) Rules, 2024.
               (2) They shall come into force on the date of their publication in the Official Gazette.",223
DOC006_chunk_002,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"rule 12; section 8; 5. Notwithstanding anything contained in these rules, the Controller may condone the delay or extend; rule 13",1,1,"2.  In the Patents Rules, 2003, hereinafter referred to as the said rules, in rule 12, -
            (i)  in sub-rule (2), for the words ‘six months from the date of such filing’, the words ‘three months from

                 the date of issuance of first statement of objections under sub-rule (3) of rule 24B or sub-rule (8) of
                 rule 24C’ shall be substituted;
            (ii) for sub-rule (3), the following sub-rule shall be substituted, namely: -

                 “3. The Controller may, use accessible and available databases, for considering the information
                 relating to applications filed in a country outside India.

4. The Controller may, under sub-section (2) of section 8, for reasons to be recorded in writing, direct
                 the applicant to furnish a fresh statement and undertaking in Form 3 within two months from the date
                 of such communication by the Controller.

5. Notwithstanding anything contained in these rules, the Controller may condone the delay or extend
                 the time for filing Form 3 for a period up to three months upon a request made in Form 4.”.

3.  In rule 13 after sub-rule (2) of the said rules, the following sub-rule shall be inserted, namely, -
                “(2A) A patent applicant may, if he so desires, file one or more further applications under section 16,
            including in respect of an invention disclosed in the provisional or complete specification or a further
            application filed under section 16.”.",230
DOC006_chunk_003,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,rule 24; rule 29,1,"1, 2","4.  In rule 24B of the said rules, -
                (a) in sub-rule (1), -
                  (i) for the words ‘forty-eight months’, wherever they occur, the words ‘thirty-one months’ shall be

                    substituted;
                  (ii) in sub-rule (1), after clause (v), the following clause shall be inserted, namely, -
                       ‘(vi) Notwithstanding anything contained in this sub-rule, in respect of an application filed
                       before commencement of the Patents (Amendment) Rules, 2024, the period for making
                       request for examination under sub-section (1) of section 11B shall be the period specified
                       under this sub-rule before the commencement of the Patents (Amendment) Rules, 2024.’;
                  (b) in sub-rule (6), for the words, brackets and figure ‘specified under sub-rule (5)’, the words
               ‘specified herein’ shall be substituted.

5.  In rule 24C of the said rules, in sub-rule (11), for the words, brackets and figure ‘specified under sub-rule (10)’,
            the words ‘specified herein’ shall be substituted.

6.  In the said rules, after rule 29, the following rule shall be inserted, namely, -

[भाग II—खण् ड 3(i)]      भारत का रािपत्र : असाधारण              23

            “29A. Grace period. - An application to avail the period specified under section 31 shall be filed in Form 31,
            along with the fees specified in the First Schedule.”.",200
DOC006_chunk_004,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,rule 55,2,2,"7.  In the said rules, in rule 55:
                  (A) for sub-rule (3), the following sub-rule shall be substituted, namely, -
                  “(3) On consideration of the representation if the Controller is satisfied that, -
                     (a) no prima facie case is made out in the representation, he shall notify the opponent
                     accordingly, and -
                       (i) unless the opponent requests to be heard in the matter, the Controller shall, within one
                       month from the date of such notification, pass an order recording the grounds for refusal of
                       the representation;
                       (ii) if opponent requests for a hearing, the Controller shall, after giving the opponent an
                       opportunity of being heard, pass an order within one month from the date of hearing,
                       recording his reasons for refusal or prima facie acceptance of the representation and the
                       applicant shall be notified accordingly.
                     (b) a prima facie case is made out in the representation, the Controller shall, within one month

                     of receiving the representation, pass an order recording his reasons and notify the applicant
                     accordingly.

                  (B) in sub-rule (4) for the word ‘three months’, the word ‘two months’ shall be substituted;
                  (C) after sub-rule (5), the following sub-rules shall be inserted namely: -
                       “(5A.) The procedure specified in sub-rules (2) to (4) of rule 62 shall, as far as may be,
                       apply to the procedure for hearing under this rule.
                       (5B) An application for a patent, in which a representation for opposition has been filed
                       and notice has been issued by the Controller under rule 3, shall be examined in accordance
                       with rule 24C.”.",256
DOC006_chunk_005,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,rule 56; rule 70; rule 80,2,2,"8.  In rule 56 of the said rules, in sub-rule (4), for the word ‘three months, the word ‘two months’ shall be
            substituted.

9.  After rule 70 of the said rules, the following rule shall be inserted, namely: -

            ‘70A. Certificate of inventorship. - (1) The Controller may issue a certificate of inventorship to an inventor in
            respect of a patent in force, on a request made by the inventor in Form-8A along with fee specified in the First
            Schedule.
            (2) The Controller may issue a duplicate certificate of inventorship to an inventor in respect of a patent in force
            on a request made by the inventor in Form-8A along with the fee specified in the First Schedule and such
            request shall contain a statement setting out the circumstances in which the original certificate of inventorship
            was lost, destroyed, damaged or cannot be produced.’.

10. In rule 80 of the said rules, for sub-rule (3), the following sub-rule shall be substituted, namely: -
            “(3) The annual renewal fees payable in respect of two or more years may be paid in advance:
            Provided that where the renewal fees is paid in advance through electronic mode for a period of at least 4 years,
            a ten per cent reduction in fee shall be applicable for such renewal.”.",215
DOC006_chunk_006,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,rule 110; rule 131; Rule 137,2,"2, 3","11. In rule 110 of the said rules, in sub-rule (2): -
                a) for the words ‘Patents Act and Rules’, the words ‘The Patents Act, 1970 (39 of 1970), The Patents

                  Rules, 2003, The Designs Act, 2000 (16 0f 2000) and The Designs Rules, 2001’ shall be substituted;
                b) for the words ‘patent specifications’, the words ‘patent specifications, design specifications’ shall be
                  substituted.

12. In rule 131 of the said rules, for sub-rule (2), the following sub-rule shall be substituted, namely,-
            “(2) The statements referred to in sub-rule (1) shall be furnished once in respect of every period of three
            financial year, starting from the financial year commencing immediately after the financial year in which the
            patent was granted, and shall be furnished within six months from the expiry of each such period.
            Provided that the Controller may condone the delay or extend the time in filing of such statement for a period
            up to three months upon a request made in Form 4.”.

24               THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(i)]

13. Rule 137 of the said rules, shall be numbered as sub-rule (1) thereof and after sub-rule (1) as so renumbered,
            the following sub-rule shall be inserted namely, -
            “(2) The provisions contained in sub-rule (1) shall be not be applicable for matters related to- (i) extension of
            time or condonation of delay under sub-rule (5) of rule 12; (ii) clause (i) of sub-rule (4) and sub-rule (6) of rule
            20; (iii) rule 21; (iv) sub-rules (1), (5) and (6) of rule 24B; (v) sub-rules (10) and (11) of rule 24C; (vi) sub-rule
            (4) of Rule 55; (vii) sub-rule (1A) of rule 80; (viii) sub-rules (1) and (2) of rule 130; (ix) sub-rule(2) of rule",289
DOC006_chunk_007,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"131.”.; rule 138; 15. In the said rules, for Table I of THE FIRST SCHEDULE, the following table shall be substituted, ",3,3,"131.”.

14. For rule 138 of the said rules, the following rules shall be substituted, namely, -

            ""138. Power to extend time specified or condone delay: - Notwithstanding anything contained in these rules,
            the time specified for doing any act or taking any proceeding thereunder may be extended or any delay may be
            condoned by the Controller for a period of up to six months, upon a request made in Form 4, where such
            request is made before the expiry of the said period of six months:
            Provided that such request may be made any number of times within the specified period of six months.’.

15. In the said rules, for Table I of THE FIRST SCHEDULE, the following table shall be substituted, namely, -
                                      TABLE I

        “Number  On what payable Number  For e-filing      For physical filing
         of Entry              of the Natural person Other(s), alone Natural person or Other(s), alone
                              relevant or startup or or with natural startup or small or with natural
                               Form small entity or person or startup entity or person or startup
                                     educational or small entity or educational or small entity or
                                     institution educational institution educational
                                              institution         institution
           1         2          3      4         5         6         7
                                        Rupees    Rupees    Rupees    Rupees",202
DOC006_chunk_008,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,1. On application for a patent 1 1600   8000      1750      8800; 2. On filing complete 2       No fee   No fee     No fee   No fee,3,"3, 4","1. On application for a patent 1 1600   8000      1750      8800
              under sections 7, 54* or 135 Multiple of Multiple of 8000 Multiple of 1750 Multiple of 8800
              and rule 20(1) accompanied 1600 in case of in case of every in case of every in case of every
              by provisional or complete every multiple multiple priority. multiple priority. multiple priority.
              specification—            priority.
              (i) for each sheet of     (i) 160   (i) 800    (i) 180  (i) 880
              specification in addition to
              30, excluding sequence
              listing of nucleotides and/
              or amino acid sequences
              under sub-rule (3) of rule
              (9);
              (ii) for each claim in    (ii) 320 (ii) 1600  (ii) 350 (ii) 1750
              addition to 10;
              (iii) for each page of (iii) 160 subject (iii) 800 subject Not allowed Not allowed
              sequence listing of   to a maximum to a maximum of
              nucleotides and/ or amino of 24000  120000
              acid sequences under sub-
              rule (3) of rule (9).
              *An application for a
              patent made under section
              54 shall be eligible for a
              reduction of 50 per cent in
              fee as compared to other
              applications.

2. On filing complete 2       No fee   No fee     No fee   No fee
              specification after
              provisional up to 30 pages
              having up to 10 claims –

[भाग II—खण् ड 3(i)]      भारत का रािपत्र : असाधारण              25

              (i) for each sheet of     (i) 160   (i) 800    (i) 180  (i) 880
              specification in addition to
              30, excluding sequence
              listing of nucleotides and/
              or amino acid sequences
              under sub-rule (3) of rule
              (9);
              (ii) for each claim in    (ii) 320 (ii) 1600  (ii) 350 (ii) 1800
              addition to 10.
              (iii) for each page of (iii) 160 subject (iii) 800 subject Not allowed Not allowed
              sequence listing of   to a maximum to a maximum of
              nucleotides and/ or amino of 24000  120000
              acid sequences under sub-
              rule (3) of rule (9).
              Note: A specification in
              respect of an application
              for a patent made under
              section 54 shall be eligible
              for a reduction of 50 per
              cent in fee as compared to
              other specifications.",338
DOC006_chunk_009,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,3. On filing a statement and 3 No fee  No fee     No fee   No fee; section 8; 4. i) On request for extension 4 480    2400       530      2600; 5. On filing a declaration as to 5 No fee No fee  No fee   No fee; 6. On application for -        800      4000       880      4400; 7. On application for deletion - 800    4000       880      4400; section 6,4,"4, 5","3. On filing a statement and 3 No fee  No fee     No fee   No fee
              undertaking under

section 8.

4. i) On request for extension 4 480    2400       530      2600
              of time under sections
              53(2) and 142(4), rules
              13(6), 80(1A) and 130 (per
              month).
              ii) On request for extension 4 2000 10000       2200     11000
              of time or condonation of
              delay (per month) under
              sub-rule (4) of rule 12 or
              sub-rule (2) or rule 131.
              iii) On request for 4      1000      4000       1100     4400
              extension of time under
              sub-rule (6) of rule 24B
              (per month).
              iv) On request for 4       2000     10000       2200     11000
              extension of time under
              sub-rule (11) of rule 24C
              (per month).
              v) On request for extension 4 10000 50000      11000     55000
              of time under rule 138 (per
              month).

5. On filing a declaration as to 5 No fee No fee  No fee   No fee
              inventorship under sub-rule
              (6) of rule 13.

6. On application for -        800      4000       880      4400
              postdating.

7. On application for deletion - 800    4000       880      4400
              of reference under section
              19 (2).

8. (i) On claim under section 6 800     4000       880      4400
              20(1);
              (ii) On request for direction 6 800  4000       880      4400
              under section 20 (4) or 20
              (5).

26               THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(i)]",219
DOC006_chunk_010,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,9. (i) On notice of opposition to 7 8000 40000 Not allowed Not allowed; 10. On giving notice that hearing - 1500 7500      1700     8300; section 8; 12. Certificate of inventorship 8A 900 Not applicable 1000 Not applicable; 13. Request for publication 9 2500     12500       2750     13750; section 10; 15. On application for directions 11 2400 12000    2650     13200; 16. On request for grant of a 12 2400  12000       2650     13200; 17. On request for converting a - 2400 12000       2650     132,5,5,"9. (i) On notice of opposition to 7 8000 40000 Not allowed Not allowed
              grant of patent under section
              25(2);
              (ii) On filing representation 7A 4000 20000 Not allowed Not allowed
              opposing grant of patent
              under section 25(1).

10. On giving notice that hearing - 1500 7500      1700     8300
              before Controller shall be
              attended under rule 62(2).

11. On application under section 8 No fee No fee  No fee   No fee
              28(2).
              On application under 8      800      4000       880      4400
              sections 28(3) or 28(7).

12. Certificate of inventorship 8A 900 Not applicable 1000 Not applicable
              under rule 70A.

13. Request for publication 9 2500     12500       2750     13750
              under section 11A(2) and
              rule 24A.

14. On application under section 10 2400 12000     2650     13200
              44 for amendment of patent.

15. On application for directions 11 2400 12000    2650     13200
              under section 51(1) or 51(2).

16. On request for grant of a 12 2400  12000       2650     13200
              patent under sections 26(1)
              and 52(2).

17. On request for converting a - 2400 12000       2650     13200
              patent of addition to an
              independent patent under

section 55 (1).",183
DOC006_chunk_011,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,18. For renewal of a patent,5,"5, 6","18. For renewal of a patent
              under section 53—
           (i) before the expiration of the - 800  4000       880      4400
              2nd year from the date of
              patent in respect of 3rd year;
           (ii) before the expiration of the - 800 4000       880      4400
              3rd year in respect of the 4th
              year;
           (iii) before the expiration of the - 800 4000      880      4400
              4th year in respect of the 5th
              year;
           (iv) before the expiration of the - 800 4000       880      4400
              5th year in respect of the 6th
              year;
           (v) before the expiration of the - 2400 12000      2650     13200
              6th year in respect of the 7th
              year;
           (vi) before the expiration of the - 2400 12000     2650     13200
              7th year in respect of the 8th
              year;
           (vii) before the expiration of the - 2400 12000    2650     13200
              8th year in respect of the 9th
              year;
           (viii) before th e expiration of the - 2400 12000  2650     13200
              9th year in respect of the
              10th year;
           (ix) before the expiration of the - 4800 24000     5300     26400
              10th year in respect of the
              11th year;

[भाग II—खण् ड 3(i)]      भारत का रािपत्र : असाधारण              27

           (x) before the expiration of the - 4800 24000      5300     26400
              11th year in respect of the
              12th year;
           (xi) before the expiration of the - 4800 24000     5300     26400
              12th year in respect of the
              13th year;
           (xii) before the expiration of the - 4800 24000    5300     26400
              13th year in respect of the
              14th year;
           (xiii) before th e expiration of the - 4800 24000  5300     26400
              14th year in respect of the
              15th year;
           (xiv) before th e expiration of the - 8000 40000   8800     44000
              15th year in respect of the
              16th year;
           (xv) before the expiration of the - 8000 40000     8800     44000
              16th year in respect of the
              17th year;
           (xvi) before th e expiration of the - 8000 40000   8800     44000
              17th year in respect of the
              18th year;
           (xvii) before th e expiration of the - 8000 40000  8800     44000
              18th year in respect of the
              19th year;
           (xviii)b efore th e expiration of the - 8000 40000 8800     44000
              19th year in respect of the
              20th year.",371
DOC006_chunk_012,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"19. On application for 13; 20. On notice of opposition to an 14 2400 12000    2650     13200; 21. On application for 15     2400     12000       2650     13200; section 60; 22. Additional fee for restoration — 4800 24000    5300     26400; 23. On notice of offer to —   No fee   No fee     No fee   No fee; section 63; 24. On application for the entry 16 1600 8,000    1750      8,800",6,"6, 7","19. On application for 13
              amendment of application
              for patent or complete
              specification or other related
              documents under section
              57—
           (i) before grant of patent;    800      4000       880      4400
           (ii) after grant of patent;   1600      8000       1750     8800
           (iii) where amendment is for   320      1600       350      1750
              changing name or address or
              nationality or address for
              service.

20. On notice of opposition to an 14 2400 12000    2650     13200
              application under sections
              57(4), 61(1) and 87(2) or to
              surrender a patent under
              section 63(3) or to a request
              under section 78(5).

21. On application for 15     2400     12000       2650     13200
              restoration of a patent under

section 60.

22. Additional fee for restoration — 4800 24000    5300     26400
              under section 61(3) and rule
              86(1).

23. On notice of offer to —   No fee   No fee     No fee   No fee
              surrender a patent under

section 63.

24. On application for the entry 16 1600 8,000    1750      8,800
              in the register of patents of (In respect of (In respect of (In respect of (In respect of
              the name of a person entitled each patent) each patent) each patent) each patent)

28               THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(i)]

              to a patent or as a share or as
              a mortgage or as licensee or
              as otherwise or for the entry
              in the register of patents of
              notification of a document
              under sections 69(1) or 69(2)
              and rules 90(1) or 90(2).",238
DOC006_chunk_013,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,25. On application for alteration — 320 1600       350      1750; rule 118(1); 26. On request for entry of an — 800    4000       880      4400; 27. On application for 17     2400     12000       2650     13200; 28. On request for examination 18; 29. On request for expedited or 18A 8000 60000 Not allowed Not allowed; 30. Conversion of the request for 18A 4000 40000 Not allowed Not allowed; 31. On application for 19     2400     12000       2650     13200; section 85(1); 32. On application for re,7,7,"25. On application for alteration — 320 1600       350      1750
              of an entry in the register of
              patents or register of patent
              agents under rules 94(1) or

rule 118(1).

26. On request for entry of an — 800    4000       880      4400
              additional address for service
              in the Register of Patents
              under rule 94(3).

27. On application for 17     2400     12000       2650     13200
              compulsory license under
              sections 84(1), 91(1), 92(1)
              and 92A.

28. On request for examination 18
              of application for patent—
              (i) under section 11B and  4000     20000       4400     22000
              rule 24(1);
              (ii) under rule 20(4)(ii). 5600     28000       6150     30800

29. On request for expedited or 18A 8000 60000 Not allowed Not allowed
              delayed examination of
              application for patent under
              rule 24C.

30. Conversion of the request for 18A 4000 40000 Not allowed Not allowed
              examination filed under rule
              24B to request for expedited
              or delayed examination
              under rule 24C.

31. On application for 19     2400     12000       2650     13200
              revocation of a patent under

section 85(1).

32. On application for revision 20 2400 12000      2650     13200
              of terms and conditions of
              licence under section 88(4).

33. On request for termination of 21 2400 12000    2650     13200
              compulsory licence under

section 94.",201
DOC006_chunk_014,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,34. On application for 22     3200 Not applicable  3500 Not applicable; 35. On request for appearing in — 1600 Not applicable 1750 Not applicable; 36. For continuance of the name; 37. On application for duplicate — 1600 Not applicable 1750 Not applicable; 38. On application for 23     1600 Not applicable 1750 Not applicable; 117(1).                 number 36); 39. On a request for correction — 800   4000       880      4400; 40. On application for review or 24 1600 8000      1750     8800,7,"7, 8","34. On application for 22     3200 Not applicable  3500 Not applicable
              registration as a patent agent
              under rule 109(1) or rule
              112.

35. On request for appearing in — 1600 Not applicable 1750 Not applicable
              the qualifying examination
              under rule 109(3).

36. For continuance of the name
              of a person in the register of
              patent agents—
              for the 1st year to be paid — 800 Not applicable 880 Not applicable
              along with registration;
                (ii) for every year —     800 Not applicable  880 Not applicable
                excluding the 1st year

[भाग II—खण् ड 3(i)]      भारत का रािपत्र : असाधारण              29

                to be paid on the 1st
                April in each year.

37. On application for duplicate — 1600 Not applicable 1750 Not applicable
              certificate of patent agent
              under rule 111A.

38. On application for 23     1600 Not applicable 1750 Not applicable
              restoration of the name of a (Plus      (Plus continuation
              person in the register of continuation fee fee under entry
              patent agents under rule under entry        number 36)

117(1).                 number 36)

39. On a request for correction — 800   4000       880      4400
              of clerical error under section
              78(2).

40. On application for review or 24 1600 8000      1750     8800
              setting aside the decision or
              order of the controller under
              section 77(1)(f) or 77(1)(g).",210
DOC006_chunk_015,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"41. On application for 25     1600      8000       1750     8800; 42. On application for duplicate — 1600 8000       1750     8800; rule 132; 43. (i) On request for certified — 1000 5000      1100      5500; 44. For certifying office copies, — 800 4000       880      4400; 45. On request for inspection of — 320  1600       350      1750",8,8,"41. On application for 25     1600      8000       1750     8800
              permission for applying
              patent outside India under
              section 39 and rule 71(1).

42. On application for duplicate — 1600 8000       1750     8800
              patent under section 154 and

rule 132.

43. (i) On request for certified — 1000 5000      1100      5500
              copies under section 72 (up to 30 pages (up to 30 pages (up to 30 pages (up to 30 pages
              or for certificate under and, thereafter, and, thereafter, and, thereafter, 30 and, thereafter,
              section 147 and rule 133(1). 30 for each 150 for each for each extra 150 for each
                                      extra page) extra page) page) extra page)
              (ii) On request for certified -- 2400 12000    3300     13200
              copies under section 72 or (up to 30 pages (up to 30 pages (up to 30 pages (up to 30 pages
              for certificate under section and thereafter, and thereafter, and thereafter, 30 and thereafter,
              147 and rule 133(2).    30 for each 30 for each extra for each extra 30 for each extra
                                      extra page)  page)     page)     page)

44. For certifying office copies, — 800 4000       880      4400
              printed each.

45. On request for inspection of — 320  1600       350      1750
              register under section 72,
              inspection under rule 27 or
              rule 74A.",207
DOC006_chunk_016,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,46. On request for information — 480    2400       530      2650; 47. On form of authorization of 26 No fee No fee  No fee   No fee; 48. On petition not otherwise — 1600    8000       1750     8800; 49. For supplying of photocopies — 10     10        10        10; 50. Transmittal fee for —     3200     16000       3500     17600; 51. Transmittal fee for —     No fee   No fee Not applicable Not applicable; 52. For preparation of certified — 1000 5000      1100      5500; 53. For preparation of ce,8,"8, 9","46. On request for information — 480    2400       530      2650
              under section 153 and rule
              134.

47. On form of authorization of 26 No fee No fee  No fee   No fee
              a patent agent.

48. On petition not otherwise — 1600    8000       1750     8800
              provided for.

49. For supplying of photocopies — 10     10        10        10
              of the documents, per page.

50. Transmittal fee for —     3200     16000       3500     17600
              international application.

51. Transmittal fee for —     No fee   No fee Not applicable Not applicable
              international application (for
              ePCT filing).

52. For preparation of certified — 1000 5000      1100      5500
              copy of priority document (up to 30 pages (up to 30 pages (up to 30 pages (up to 30 pages
              and for transmission of the and, thereafter, and, thereafter, and, thereafter, 30 and, thereafter,
              same to the International 30 for each 150 for each for each extra 150 for each
              Bureau of World Intellectual

30               THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(i)]

              Property Organization.  extra page) extra page) page) extra page)

53. For preparation of certified — No fee No fee Not applicable Not applicable
              copy of priority document
              and e-transmission through
              WIPO DAS.

54. On statement regarding 27 No fee   No fee     No fee   No fee
              working of a patented
              invention on a commercial
              scale in India under section
              146(2) and rule 131(1).",226
DOC006_chunk_017,DOC006,Patents Rules 2024.pdf,02_national_statutes,Patents Rules 2024,ip_statute,patent,national,2024,"55. To be submitted for claiming 28 No fee No fee No fee   No fee; 56. Application for withdrawing 29 No fee No fee  No fee   No fee; 57. Request for adjournment of - 1000   5000       1100     5500; 58. Miscellaneous form under 30         As applicable; 59. Grace period.    31        500      2500       550      2750”; 16.  In the said rules, in THE SECOND SCHEDULE, in the LIST OF FORMS, -; 17.  In the said rules, in THE SECOND SCHEDULE: -",9,9,"55. To be submitted for claiming 28 No fee No fee No fee   No fee
              the status of a small entity or
              startup.

56. Application for withdrawing 29 No fee No fee  No fee   No fee
              the application under section
              11B(4), and rules 7(4A) and
              26.

57. Request for adjournment of - 1000   5000       1100     5500
              hearing under rule 129A (for
              each adjournment).

58. Miscellaneous form under 30         As applicable
              rule 8(2), to be used when no
              other form is prescribed.

59. Grace period.    31        500      2500       550      2750”

16.  In the said rules, in THE SECOND SCHEDULE, in the LIST OF FORMS, -
        (i)  for the entry corresponding to “Form-4”, the following entry shall be substituted, namely, -

             ""4.   Sections 53(2) and 142(4), rules 12(5), 13(6), 24B(6), Request for extension of time or
                   24C(11), 80(1A), 130 and 138.      condonation of delay.”;
        (ii) after the entry corresponding to “Form-8”, the following entry shall be substituted, namely, -
             “8A. Rule 70A.                           Certificate of inventorship.”;

        (iii) after the entry corresponding to “Form-30”, the following entry shall be inserted, namely, -
             ""31.  Section 31 and rule 29A            Grace period.”.

17.  In the said rules, in THE SECOND SCHEDULE: -

            (i)  for Form 1, the following Form shall be substituted, namely, -
        “FORM 1                          (FOR OFFICE USE ONLY)
        THE PATENTS ACT 1970 (39 of 1970) and
        THE PATENTS RULES, 2003
        APPLICATION FOR GRANT OF PATENT
        (See section 7, 54 and 135 and sub-rule (1) of rule 20)
                                         Application No.
                                         Filing date:

                                         Amount of Fee
                                         paid:
                                         CBR No:
                                         Signature:",254
